,unit,carriage,destination,origin,2019
950,MIO_TKM,HIRE,LU,HU,28.0
951,MIO_TKM,HIRE,LU,IE,10.0
952,MIO_TKM,HIRE,LU,IT,46.0
953,MIO_TKM,HIRE,LU,LI,
954,MIO_TKM,HIRE,LU,LT,
955,MIO_TKM,HIRE,LU,LV,27.0
956,MIO_TKM,HIRE,LU,NL,103.0
957,MIO_TKM,HIRE,LU,NO,5.0
958,MIO_TKM,HIRE,LU,PL,140.0
959,MIO_TKM,HIRE,LU,PT,38.0
960,MIO_TKM,HIRE,LU,RO,
961,MIO_TKM,HIRE,LU,SE,77.0
962,MIO_TKM,HIRE,LU,SI,
963,MIO_TKM,HIRE,LU,SK,24.0
964,MIO_TKM,HIRE,LU,UK,17.0
965,MIO_TKM,HIRE,LV,AT,
966,MIO_TKM,HIRE,LV,BG,
967,MIO_TKM,HIRE,LV,CH,
968,MIO_TKM,HIRE,LV,CY,0.0
969,MIO_TKM,HIRE,LV,CZ,
970,MIO_TKM,HIRE,LV,DE,
971,MIO_TKM,HIRE,LV,DK,
972,MIO_TKM,HIRE,LV,EE,108.0
973,MIO_TKM,HIRE,LV,EL,
974,MIO_TKM,HIRE,LV,FI,17.0
975,MIO_TKM,HIRE,LV,FR,
976,MIO_TKM,HIRE,LV,HR,
977,MIO_TKM,HIRE,LV,HU,11.0
978,MIO_TKM,HIRE,LV,IT,
979,MIO_TKM,HIRE,LV,LT,375.0
980,MIO_TKM,HIRE,LV,NL,
981,MIO_TKM,HIRE,LV,NO,
982,MIO_TKM,HIRE,LV,PL,274.0
983,MIO_TKM,HIRE,LV,SE,
984,MIO_TKM,HIRE,LV,SI,13.0
985,MIO_TKM,HIRE,LV,SK,0.0
986,MIO_TKM,HIRE,LV,UK,
1057,MIO_TKM,HIRE,NL,AT,62.0
1058,MIO_TKM,HIRE,NL,BE,807.0
1059,MIO_TKM,HIRE,NL,BG,77.0
1060,MIO_TKM,HIRE,NL,CH,13.0
1061,MIO_TKM,HIRE,NL,CY,1.0
1062,MIO_TKM,HIRE,NL,CZ,304.0
1063,MIO_TKM,HIRE,NL,DE,2741.0
1064,MIO_TKM,HIRE,NL,DK,79.0
1065,MIO_TKM,HIRE,NL,EE,54.0
1066,MIO_TKM,HIRE,NL,EL,533.0
1067,MIO_TKM,HIRE,NL,ES,3586.0
1069,MIO_TKM,HIRE,NL,FI,
1070,MIO_TKM,HIRE,NL,FR,254.0
1071,MIO_TKM,HIRE,NL,HR,68.0
1072,MIO_TKM,HIRE,NL,HU,279.0
1073,MIO_TKM,HIRE,NL,IE,67.0
1074,MIO_TKM,HIRE,NL,IT,387.0
1075,MIO_TKM,HIRE,NL,LI,
1076,MIO_TKM,HIRE,NL,LT,272.0
1077,MIO_TKM,HIRE,NL,LU,58.0
1078,MIO_TKM,HIRE,NL,LV,212.0
1079,MIO_TKM,HIRE,NL,NO,37.0
1080,MIO_TKM,HIRE,NL,PL,3701.0
1081,MIO_TKM,HIRE,NL,PT,202.0
1082,MIO_TKM,HIRE,NL,RO,424.0
1083,MIO_TKM,HIRE,NL,SE,37.0
1084,MIO_TKM,HIRE,NL,SI,214.0
1085,MIO_TKM,HIRE,NL,SK,247.0
1086,MIO_TKM,HIRE,NL,UK,226.0
1087,MIO_TKM,HIRE,NO,AT,17.0
1088,MIO_TKM,HIRE,NO,BE,
1089,MIO_TKM,HIRE,NO,BG,
1090,MIO_TKM,HIRE,NO,CH,
1091,MIO_TKM,HIRE,NO,CY,
1092,MIO_TKM,HIRE,NO,CZ,45.0
1093,MIO_TKM,HIRE,NO,DE,106.0
1094,MIO_TKM,HIRE,NO,DK,400.0
